[[(0,00) -4,98	26,00	21,02 (5,00)	5,68	0,02	0,00], [(0,00) -4,05	25,00	20,95 (4,93)	5,90	0,04	0,00], [(0,00) -4,05	25,00	20,95 (4,93)	5,90	0,06	0,00], [(0,00) -4,05	25,00	20,95 (7,93)	5,90	0,08	0,00]]
[[(0,00) -4,98	26,00	21,02 (5,00)	5,68	0,02	0,00], [(0,00) -4,05	25,00	20,95 (4,93)	5,90	0,04	0,00], [(0,00) -4,05	25,00	20,95 (4,93)	5,90	0,06	0,00], [(0,00) -4,05	24,00	19,95 (6,93)	6,18	0,08	0,00]]
[[(0,00) -4,98	26,00	21,02 (5,00)	5,68	0,02	0,00], [(0,00) -4,05	25,00	20,95 (4,93)	5,90	0,04	0,00], [(0,00) -4,05	25,00	20,95 (4,93)	5,90	0,06	0,00], [(0,00) -4,05	23,00	18,95 (5,93)	6,50	0,08	0,00]]
[[(0,00) -4,98	26,00	21,02 (5,00)	5,68	0,02	0,00], [(0,00) -4,05	25,00	20,95 (4,93)	5,90	0,04	0,00], [(0,00) -4,05	25,00	20,95 (4,93)	5,90	0,06	0,00], [(0,00) -4,05	22,00	17,95 (4,93)	6,88	0,08	0,00]]
[[(0,00) -4,98	26,00	21,02 (5,00)	5,68	0,02	0,00], [(0,00) -4,05	25,00	20,95 (4,93)	5,90	0,04	0,00], [(0,00) -4,05	25,00	20,95 (4,93)	5,90	0,06	0,00], [(0,00) -4,05	21,00	16,95 (3,93)	7,31	0,09	0,00]]
[[(0,00) -4,98	26,00	21,02 (5,00)	5,68	0,02	0,00], [(0,00) -4,05	25,00	20,95 (4,93)	5,90	0,04	0,00], [(0,00) -4,05	25,00	20,95 (4,93)	5,90	0,06	0,00], [(0,00) -4,05	20,00	15,95 (2,93)	7,80	0,09	0,00]]
[[(0,00) -4,98	26,00	21,02 (5,00)	5,68	0,02	0,00], [(0,00) -4,05	25,00	20,95 (4,93)	5,90	0,04	0,00], [(0,00) -4,05	25,00	20,95 (4,93)	5,90	0,06	0,00], [(0,00) -4,05	19,00	14,95 (1,93)	8,35	0,10	0,00]]
[[(0,00) -4,98	26,00	21,02 (5,00)	5,68	0,02	0,00], [(0,00) -4,05	25,00	20,95 (4,93)	5,90	0,04	0,00], [(0,00) -4,05	25,00	20,95 (4,93)	5,90	0,06	0,00], [(0,00) -4,05	18,00	13,95 (0,93)	8,96	0,10	0,00]]
[[(0,00) -4,98	26,00	21,02 (5,00)	5,68	0,02	0,00], [(0,00) -4,05	25,00	20,95 (4,93)	5,90	0,04	0,00], [(0,00) -4,05	25,00	20,95 (4,93)	5,90	0,06	0,00], [(0,00) -4,05	17,00	12,95 (-0,07)	9,62	0,11	0,00]]
[[(0,00) -4,98	26,00	21,02 (5,00)	5,68	0,02	0,00], [(0,00) -4,05	25,00	20,95 (4,93)	5,90	0,04	0,00], [(0,00) -4,05	24,00	19,95 (3,93)	6,18	0,06	0,00], [(0,00) -4,05	25,00	20,95 (7,93)	5,90	0,08	0,00]]
[[(0,00) -4,98	26,00	21,02 (5,00)	5,68	0,02	0,00], [(0,00) -4,05	25,00	20,95 (4,93)	5,90	0,04	0,00], [(0,00) -4,05	24,00	19,95 (3,93)	6,18	0,06	0,00], [(0,00) -4,05	24,00	19,95 (6,93)	6,18	0,08	0,00]]
[[(0,00) -4,98	26,00	21,02 (5,00)	5,68	0,02	0,00], [(0,00) -4,05	25,00	20,95 (4,93)	5,90	0,04	0,00], [(0,00) -4,05	24,00	19,95 (3,93)	6,18	0,06	0,00], [(0,00) -4,05	23,00	18,95 (5,93)	6,50	0,08	0,00]]
[[(0,00) -4,98	26,00	21,02 (5,00)	5,68	0,02	0,00], [(0,00) -4,05	25,00	20,95 (4,93)	5,90	0,04	0,00], [(0,00) -4,05	24,00	19,95 (3,93)	6,18	0,06	0,00], [(0,00) -4,05	22,00	17,95 (4,93)	6,88	0,09	0,00]]
[[(0,00) -4,98	26,00	21,02 (5,00)	5,68	0,02	0,00], [(0,00) -4,05	25,00	20,95 (4,93)	5,90	0,04	0,00], [(0,00) -4,05	24,00	19,95 (3,93)	6,18	0,06	0,00], [(0,00) -4,05	21,00	16,95 (3,93)	7,31	0,09	0,00]]
[[(0,00) -4,98	26,00	21,02 (5,00)	5,68	0,02	0,00], [(0,00) -4,05	25,00	20,95 (4,93)	5,90	0,04	0,00], [(0,00) -4,05	24,00	19,95 (3,93)	6,18	0,06	0,00], [(0,00) -4,05	20,00	15,95 (2,93)	7,80	0,09	0,00]]
[[(0,00) -4,98	26,00	21,02 (5,00)	5,68	0,02	0,00], [(0,00) -4,05	25,00	20,95 (4,93)	5,90	0,04	0,00], [(0,00) -4,05	24,00	19,95 (3,93)	6,18	0,06	0,00], [(0,00) -4,05	19,00	14,95 (1,93)	8,35	0,10	0,00]]
[[(0,00) -4,98	26,00	21,02 (5,00)	5,68	0,02	0,00], [(0,00) -4,05	25,00	20,95 (4,93)	5,90	0,04	0,00], [(0,00) -4,05	24,00	19,95 (3,93)	6,18	0,06	0,00], [(0,00) -4,05	18,00	13,95 (0,93)	8,96	0,10	0,00]]
[[(0,00) -4,98	26,00	21,02 (5,00)	5,68	0,02	0,00], [(0,00) -4,05	25,00	20,95 (4,93)	5,90	0,04	0,00], [(0,00) -4,05	24,00	19,95 (3,93)	6,18	0,06	0,00], [(0,00) -4,05	17,00	12,95 (-0,07)	9,62	0,11	0,00]]
[[(0,00) -4,98	26,00	21,02 (5,00)	5,68	0,02	0,00], [(0,00) -4,05	25,00	20,95 (4,93)	5,90	0,04	0,00], [(0,00) -4,05	23,00	18,95 (2,93)	6,50	0,06	0,00], [(0,00) -4,05	25,00	20,95 (7,93)	5,90	0,08	0,00]]
[[(0,00) -4,98	26,00	21,02 (5,00)	5,68	0,02	0,00], [(0,00) -4,05	25,00	20,95 (4,93)	5,90	0,04	0,00], [(0,00) -4,05	23,00	18,95 (2,93)	6,50	0,06	0,00], [(0,00) -4,05	24,00	19,95 (6,93)	6,18	0,08	0,00]]
[[(0,00) -4,98	26,00	21,02 (5,00)	5,68	0,02	0,00], [(0,00) -4,05	25,00	20,95 (4,93)	5,90	0,04	0,00], [(0,00) -4,05	23,00	18,95 (2,93)	6,50	0,06	0,00], [(0,00) -4,05	23,00	18,95 (5,93)	6,50	0,08	0,00]]
[[(0,00) -4,98	26,00	21,02 (5,00)	5,68	0,02	0,00], [(0,00) -4,05	25,00	20,95 (4,93)	5,90	0,04	0,00], [(0,00) -4,05	23,00	18,95 (2,93)	6,50	0,06	0,00], [(0,00) -4,05	22,00	17,95 (4,93)	6,88	0,09	0,00]]
[[(0,00) -4,98	26,00	21,02 (5,00)	5,68	0,02	0,00], [(0,00) -4,05	25,00	20,95 (4,93)	5,90	0,04	0,00], [(0,00) -4,05	23,00	18,95 (2,93)	6,50	0,06	0,00], [(0,00) -4,05	21,00	16,95 (3,93)	7,31	0,09	0,00]]
[[(0,00) -4,98	26,00	21,02 (5,00)	5,68	0,02	0,00], [(0,00) -4,05	25,00	20,95 (4,93)	5,90	0,04	0,00], [(0,00) -4,05	23,00	18,95 (2,93)	6,50	0,06	0,00], [(0,00) -4,05	20,00	15,95 (2,93)	7,80	0,10	0,00]]
[[(0,00) -4,98	26,00	21,02 (5,00)	5,68	0,02	0,00], [(0,00) -4,05	25,00	20,95 (4,93)	5,90	0,04	0,00], [(0,00) -4,05	23,00	18,95 (2,93)	6,50	0,06	0,00], [(0,00) -4,05	19,00	14,95 (1,93)	8,35	0,10	0,00]]
